provider_code,source,regex_hint,category,user_message,agent_steps,severity,can_autofix,action_type
CARD_EXPIRED,GATEWAY,expired|card.*expired,PAYMENT_METHOD_ERROR,"Your card has expired. Please update the card and try again.","1) Confirm expiry date with customer;2) Ask to update payment method;3) Retry after update",medium,false,request_new_card
INSUFFICIENT_FUNDS,GATEWAY,insufficient.*funds|not.*enough.*funds,PAYMENT_METHOD_ERROR,"The bank declined the charge due to insufficient funds.","1) Confirm account balance;2) Suggest smaller amount or alternate method;3) Retry once",medium,false,suggest_alternative
DO_NOT_HONOR,GATEWAY,do\s*not\s*honou?r|generic.*decline,FRAUD_OR_BANK_DECLINE,"The bank declined the transaction. Please contact your bank or use another method.","1) Ask customer to call issuing bank;2) Offer ACH/Wire;3) Do not auto-retry",high,false,request_bank_contact
INVALID_CVV,GATEWAY,invalid.*cvv|cvc.*mismatch,PAYMENT_METHOD_ERROR,"The security code doesn’t match. Re-enter the card’s CVV.","1) Ask customer to re-enter CVV;2) Retry once;3) If persists, request new card",medium,false,request_new_card
AVS_MISMATCH,GATEWAY,address.*mismatch|avs.*fail,PAYMENT_METHOD_ERROR,"The billing address didn’t match the card on file.","1) Verify street/ZIP;2) Retry;3) If persists, try another method",medium,false,request_retry
PROCESSING_ERROR,GATEWAY,processing.*error|unexpected.*gateway.*error,SYSTEM_OUTAGE,"We hit a temporary processing error. Please try again shortly.","1) Check gateway status;2) Retry after 60s;3) If repeated, switch route",medium,true,retry_with_delay
GATEWAY_TIMEOUT,GATEWAY,timeout|timed.*out,NETWORK_OR_TIMEOUT,"The payment attempt timed out. We’ll try again in a moment.","1) Verify gateway status;2) Auto-retry with backoff;3) Monitor p95 latency",medium,true,retry_with_delay
DUPLICATE_TXN,GATEWAY,duplicate|already.*captured,DUPLICATE_TXN,"This charge already exists. Showing the existing transaction.","1) Show existing payment;2) Prevent double-charge;3) Notify customer",low,true,show_existing
LIMIT_EXCEEDED,GATEWAY,limit.*exceed|amount.*too.*high,LIMIT_EXCEEDED,"The amount exceeds the card’s limit for a single transaction.","1) Suggest ACH/Wire;2) Split into partials (if allowed);3) Retry alternative",medium,false,suggest_alternative
JDE_STATEMENT_REF_ERR,JDE,statement.*not.*found|reference.*invalid,STATEMENT_REFERENCE_ERROR,"We couldn’t match the payment to a statement reference.","1) Re-fetch statements from ERP;2) Ask for correct reference;3) Retry mapping",medium,true,refresh_data
AUTOPAY_NOT_ELIGIBLE,INTERNAL,autopay.*not.*eligible|eligibility.*fail,AUTOPAY_ELIGIBILITY,"This account isn’t eligible for AutoPay yet.","1) Check eligibility policy;2) Share steps to qualify;3) Offer manual payment",low,false,request_retry
GATEWAY_DOWN,GATEWAY,service.*unavailable|gateway.*down|http\s*503,SYSTEM_OUTAGE,"The payment provider is temporarily unavailable.","1) Confirm status page;2) Stop auto-retries;3) Notify Ops;4) Fail fast",high,false,open_ticket
DO_NOT_HONOR,GATEWAY,"issuer.*(reject|declin)|do\s*not\s*honou?r|generic.*decline",FRAUD_OR_BANK_DECLINE,"The bank declined the transaction. Please contact your bank or use another method.","1) Ask customer to call issuing bank;2) Offer ACH/Wire;3) Do not auto-retry",high,false,request_bank_contact

